Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
B.o.B,Magic (feat. Rivers Cuomo),B.o.B Presents: The Adventures of Bobby Ray,album,0.549,0.932,-4.11,0.343,0.0127,0.0,0.347,0.787,82.439,3.268883333333333,B.o.B - Magic (feat. Rivers Cuomo) [Official Video],Atlantic Records,59249289.0,307660.0,27849.0,True,True,160041265.0,2.6858789625360235,Spotify
Thundercat,Them Changes - Sped Up,Them Changes (Sped Up),single,0.815,0.658,-7.811,0.0464,0.557,0.322,0.114,0.871,114.326,2.251933333333333,Them Changes (Sped Up),Thundercat - Topic,2413718.0,50373.0,241.0,True,True,18395375.0,5.771929824561403,Spotify
Michael Bublé,I'll Be Home for Christmas,Christmas,album,0.282,0.101,-14.657,0.0315,0.934,5.05e-05,0.159,0.141,83.13,4.413783333333333,Michael Bublé - I'll Be Home For Christmas [Official HD],Michael Bublé,21431823.0,37733.0,1022.0,True,True,168562775.0,0.6352201257861636,Spotify
WWE,WWE: Head of the Table (Roman Reigns),WWE: Head of the Table (Roman Reigns),single,0.422,0.785,-5.475,0.036,0.000133,0.944,0.356,0.341,144.96,2.94,"? ROMAN REIGNS || WRESTLEMANIA 2023 ""Head Of The Table"" || 6th WWE Custom Titantron | ?? 60FPS",Wrestling He}}?,6565.0,286.0,26.0,False,False,14853972.0,2.205056179775281,Spotify
Carlos Vives,Cuando Nos Volvamos a Encontrar (feat. Marc Anthony),Más + Corazón Profundo,album,0.607,0.867,-3.947,0.041,0.0234,0.0,0.0828,0.598,102.027,4.643783333333333,Carlos Vives - Cuando Nos Volvamos a Encontrar ft. Marc Anthony,CarlosVivesVEVO,212965211.0,515265.0,7132.0,True,True,141267289.0,10.471014492753625,Youtube
Lee Brice,I Don't Dance,I Don't Dance (Deluxe Edition),album,0.587,0.559,-7.742,0.0321,0.399,6.69e-06,0.0992,0.19,92.036,3.6862166666666663,Lee Brice - I Don't Dance (Official Music Video),Lee Brice,48568444.0,244884.0,3729.0,True,True,215123726.0,5.635080645161291,Spotify
Weezer,Hash Pipe,Weezer (Green Album),album,0.578,0.882,-6.354,0.044,0.000121,0.479,0.284,0.623,125.603,3.108883333333333,Weezer - Hash Pipe (Revised),WeezerVEVO,25910545.0,142739.0,5832.0,True,True,109105631.0,3.105633802816901,Spotify
Meek Mill,Dreams and Nightmares,Dreams and Nightmares (Deluxe Edition),album,0.631,0.774,-2.459,0.3,0.468,0.0,0.281,0.44,79.745,3.844883333333333,Meek Mill -Dreams And Nightmares (Intro),Meek Mill,90243072.0,705839.0,21479.0,False,True,280539757.0,2.754448398576512,Spotify
Idina Menzel,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",Wicked,compilation,0.333,0.377,-8.282,0.0343,0.722,0.0,0.0333,0.245,87.613,5.898666666666666,"Defying Gravity (From ""Wicked"" Original Broadway Cast Recording/2003)",Kristin Chenoweth - Topic,11527824.0,83983.0,598.0,True,True,123331650.0,11.32132132132132,Spotify
Duman,Yürek,Darmaduman,album,0.673,0.719,-7.299,0.0362,0.277,9.56e-06,0.101,0.723,127.975,4.189233333333333,"Duman - Yürek Video HD ""Darmaduman""",metinoktay sinevizyon,398054.0,1485.0,162.0,False,False,39655136.0,7.118811881188118,Spotify
